number,value,datetime_start,datetime_complete,duration,params_frame_gap,params_over_duration,params_over_height_threshold,state
155,0.17458905186862977,2023-06-20 14:16:14.941064,2023-06-20 14:18:32.626630,0 days 00:02:17.685566,51,35,1.874035475913818,COMPLETE
156,0.24135269741815024,2023-06-20 14:16:26.954743,2023-06-20 14:18:42.946630,0 days 00:02:15.991887,12,35,1.511872243127811,COMPLETE
157,0.24289241694499572,2023-06-20 14:16:34.829659,2023-06-20 14:18:53.244235,0 days 00:02:18.414576,6,35,1.5086001389069772,COMPLETE
158,0.16024056876220188,2023-06-20 14:17:02.871782,2023-06-20 14:19:12.153350,0 days 00:02:09.281568,50,35,1.5066452760098483,COMPLETE
159,0.17067008725696609,2023-06-20 14:17:13.537670,2023-06-20 14:19:29.092779,0 days 00:02:15.555109,51,35,1.5764575221432822,COMPLETE
160,0.16999368033055917,2023-06-20 14:17:22.332138,2023-06-20 14:19:38.675542,0 days 00:02:16.343404,51,35,1.5690112749207632,COMPLETE
161,0.1702693751573779,2023-06-20 14:17:35.037560,2023-06-20 14:19:51.703854,0 days 00:02:16.666294,51,36,1.5130310934591846,COMPLETE
162,0.1661176504692962,2023-06-20 14:17:52.956433,2023-06-20 14:20:08.594622,0 days 00:02:15.638189,51,30,1.5678044666628277,COMPLETE
163,0.1638301505253563,2023-06-20 14:18:00.457694,2023-06-20 14:20:17.800118,0 days 00:02:17.342424,50,35,1.5796327537103376,COMPLETE
164,0.17071707205965908,2023-06-20 14:18:02.471030,2023-06-20 14:20:21.961929,0 days 00:02:19.490899,51,36,1.580983054644116,COMPLETE
165,0.1648820480567132,2023-06-20 14:18:26.299552,2023-06-20 14:20:45.556270,0 days 00:02:19.256718,50,35,1.7341903830527077,COMPLETE
166,0.1697549388089229,2023-06-20 14:18:29.551737,2023-06-20 14:20:52.399452,0 days 00:02:22.847715,51,35,1.5903441899333741,COMPLETE
167,0.1631359213055527,2023-06-20 14:18:32.652017,2023-06-20 14:20:54.980947,0 days 00:02:22.328930,56,34,1.7268632155316261,COMPLETE
168,0.17266197875934478,2023-06-20 14:18:42.974453,2023-06-20 14:20:53.496329,0 days 00:02:10.521876,51,36,1.7297684258113557,COMPLETE
169,0.17154040821063257,2023-06-20 14:18:53.281504,2023-06-20 14:21:08.558247,0 days 00:02:15.276743,51,35,1.7291248816834075,COMPLETE
170,0.1705139705888002,2023-06-20 14:19:12.185614,2023-06-20 14:21:24.586281,0 days 00:02:12.400667,51,35,1.7471056127193614,COMPLETE
171,0.16385561082047245,2023-06-20 14:19:29.128953,2023-06-20 14:21:42.852195,0 days 00:02:13.723242,56,35,1.7489360442900153,COMPLETE
172,0.1620893824867206,2023-06-20 14:19:38.717262,2023-06-20 14:21:52.576725,0 days 00:02:13.859463,56,25,1.7452170476842328,COMPLETE
173,0.1618426719604048,2023-06-20 14:19:51.751348,2023-06-20 14:22:07.784553,0 days 00:02:16.033205,56,25,1.7311549032659994,COMPLETE
174,0.18396646969202535,2023-06-20 14:20:08.626961,2023-06-20 14:22:20.317367,0 days 00:02:11.690406,56,83,1.7375341300900966,COMPLETE
175,0.16124803517742625,2023-06-20 14:20:17.829719,2023-06-20 14:22:34.403460,0 days 00:02:16.573741,57,25,1.7354236575984867,COMPLETE
176,0.16064434087676363,2023-06-20 14:20:21.985447,2023-06-20 14:22:40.207614,0 days 00:02:18.222167,56,25,1.7129127578366872,COMPLETE
177,0.1618426719604048,2023-06-20 14:20:45.574066,2023-06-20 14:23:09.738088,0 days 00:02:24.164022,56,25,1.7320573454510655,COMPLETE
178,0.16117716270114557,2023-06-20 14:20:52.419899,2023-06-20 14:23:20.785685,0 days 00:02:28.365786,56,25,1.7286957440842161,COMPLETE
179,0.16117716270114557,2023-06-20 14:20:53.536204,2023-06-20 14:23:03.432348,0 days 00:02:09.896144,56,25,1.7289969129302598,COMPLETE
180,0.16124803517742625,2023-06-20 14:20:55.012994,2023-06-20 14:23:24.871870,0 days 00:02:29.858876,57,25,1.7300149681585215,COMPLETE
